"id","age","gender","data_parar","beber_agua","comer","ler_razoes","relaxamento","tentou_parar","ladder"
530,20,1,0,0,0,1,0,0,4
531,44,0,1,1,0,1,1,1,5
532,40,1,1,1,1,1,0,1,9
535,60,1,1,1,0,0,1,0,5
536,29,1,0,1,1,0,1,0,7
537,34,1,0,1,0,0,0,1,7
539,62,1,1,1,0,0,0,1,8
540,44,1,1,1,1,1,1,1,5
541,29,0,1,1,0,0,1,1,6
543,41,0,1,0,0,0,0,1,6
549,37,1,1,0,0,0,0,1,8
552,35,1,1,1,1,1,1,1,7
553,37,1,0,1,0,1,1,0,5
554,38,1,0,0,1,0,0,0,8
555,39,0,1,0,1,0,0,1,7
556,37,1,1,1,0,0,1,1,5
558,54,1,1,1,1,0,0,1,6
559,29,1,1,0,0,0,0,1,8
560,44,0,0,1,0,0,0,0,5
562,28,1,1,0,0,0,1,1,4
563,39,1,0,0,0,1,1,1,7
564,32,1,1,1,0,0,0,1,7
565,40,1,0,0,0,0,0,1,9
566,37,1,0,1,0,1,1,0,5
569,38,0,0,1,0,0,0,0,5
571,50,1,1,0,0,0,1,0,5
572,35,0,0,1,1,0,1,0,5
574,43,0,1,1,0,0,0,1,9
575,27,0,1,1,0,1,1,1,8
576,41,0,1,1,0,0,1,1,6
577,46,1,1,1,0,1,1,1,5
578,27,1,0,1,0,1,0,0,5
579,23,1,0,0,0,0,0,0,8
581,25,0,0,1,0,0,0,1,5
582,49,1,1,1,1,0,1,1,7
583,37,0,0,0,0,0,0,0,7
585,29,1,0,1,0,0,0,1,8
586,25,0,1,1,1,1,0,1,7
588,53,1,1,0,0,0,0,1,7
589,20,0,1,1,1,0,1,1,8
590,20,0,1,0,0,0,1,0,8
597,32,0,0,0,1,1,0,0,8
598,37,1,0,1,0,0,0,0,10
602,49,1,0,0,0,0,0,0,8
607,50,1,1,1,0,0,0,0,7
611,51,1,1,1,1,0,0,1,6
615,54,0,0,1,0,0,0,0,5
616,52,1,1,0,0,0,0,1,7
618,60,1,0,1,0,0,1,0,7
622,50,1,1,1,0,0,1,1,5
623,53,0,0,0,1,0,0,0,8
628,47,1,0,1,0,0,0,0,8
630,56,0,1,1,0,0,0,0,10
639,52,1,1,0,1,0,0,0,7
642,21,1,1,1,0,0,1,0,7
643,48,1,0,1,0,0,0,0,5
645,41,0,0,1,1,0,0,0,9
646,33,0,0,1,1,0,1,0,7
648,51,1,0,1,1,1,1,0,7
649,52,1,0,0,0,0,1,0,7
655,31,0,0,0,0,0,1,0,4
658,41,0,0,1,0,1,1,0,5
659,69,0,0,1,0,1,1,0,5
663,55,1,1,1,0,0,0,1,7
665,45,1,0,0,1,0,0,0,8
667,34,1,1,1,0,0,0,0,5
668,36,1,0,0,0,0,0,0,7
671,51,1,0,1,1,0,0,0,8
672,51,1,0,1,1,0,0,0,5
673,50,1,0,0,0,0,0,0,7
675,62,1,0,0,1,1,1,0,4
676,34,0,0,0,0,0,0,0,7
677,29,0,0,1,0,0,0,0,5
681,43,1,0,1,0,1,0,0,7
682,40,1,0,0,0,0,1,0,9
683,60,1,0,1,1,1,1,0,9
684,38,1,0,0,1,0,1,0,8
686,21,0,0,0,0,0,0,0,7
688,47,0,0,1,1,1,0,0,8
689,54,1,0,1,0,0,0,0,4
690,27,0,1,0,0,0,0,1,8
692,50,1,1,1,0,1,0,0,7
693,31,1,1,1,1,1,1,1,8
695,45,0,0,1,1,1,0,0,7
697,30,1,0,0,0,0,0,0,7
698,29,0,0,1,0,0,1,0,7
699,53,0,0,1,1,1,0,0,7
701,21,1,1,0,0,0,0,1,8
702,48,1,0,1,0,0,0,0,8
704,39,0,0,1,1,1,1,0,5
709,33,1,0,1,0,1,1,1,8
711,37,0,0,1,0,0,0,0,7
712,29,0,0,1,0,0,1,0,5
714,51,1,0,0,0,0,0,0,5
716,44,0,0,0,0,0,0,0,7
717,58,1,1,1,1,0,0,1,8
718,50,1,0,1,0,0,1,0,5
719,57,1,1,1,0,1,0,1,5
720,50,1,0,1,0,0,0,0,6
725,54,1,1,1,0,0,0,0,6
726,50,0,0,0,0,0,1,0,4
727,41,1,0,1,0,1,0,0,5
728,58,1,0,0,0,0,0,1,5
729,54,0,0,1,0,0,0,0,6
731,57,1,0,1,0,0,0,0,7
733,53,1,0,1,0,0,0,0,5
734,48,1,0,0,0,0,0,0,5
736,44,1,1,1,0,0,0,1,8
739,41,1,1,1,0,0,1,1,5
742,41,0,1,0,0,0,0,1,4
746,57,1,1,0,1,0,0,1,6
748,40,0,0,1,0,0,0,0,5
749,44,0,0,1,0,0,0,0,8
751,47,0,0,0,0,0,0,0,5
752,50,1,0,1,1,1,1,1,7
753,52,1,0,0,0,0,0,0,8
754,28,1,0,1,0,0,1,0,6
757,47,1,0,1,0,1,0,0,7
759,28,0,0,1,1,0,0,0,4
763,42,1,0,1,0,0,0,0,7
764,41,1,1,1,0,0,0,0,7
767,29,1,0,0,0,0,0,0,7
768,52,0,0,1,0,0,0,0,7
770,48,0,0,1,0,0,0,0,8
771,51,1,0,1,0,0,0,0,7
774,47,1,0,0,0,0,0,0,4
776,58,0,0,1,1,0,0,0,7
780,38,1,0,1,0,0,0,0,9
782,63,0,0,1,0,0,0,0,10
785,31,0,0,0,0,0,0,1,9
786,39,0,0,0,0,0,0,0,5
788,50,0,0,1,1,1,1,0,8
790,21,0,1,0,0,0,0,1,8
791,26,0,1,1,0,1,1,1,8
792,36,0,1,1,1,0,0,1,9
793,16,1,1,1,1,0,0,1,9
795,41,0,1,1,0,1,1,1,6
797,60,1,0,1,1,0,1,0,8
798,35,1,1,1,0,0,0,0,5
801,26,1,0,1,0,1,0,0,5
802,32,0,0,1,1,0,1,0,7
803,58,0,1,0,1,0,0,1,5
806,52,1,0,1,0,0,0,0,5
811,58,1,0,0,0,0,0,0,8
812,53,1,1,1,1,0,0,1,10
815,38,1,0,1,0,0,0,0,8
819,56,1,0,1,0,0,0,0,10
822,47,1,0,1,1,0,0,0,7
823,46,1,0,1,0,0,1,0,4
825,58,1,0,1,0,0,0,1,8
827,41,0,0,1,1,0,0,0,8
828,57,1,0,1,0,0,0,0,8
833,36,1,0,0,0,0,0,0,1
834,35,1,0,0,0,0,0,0,7
841,54,1,0,0,0,0,0,0,7
845,54,0,0,0,0,0,0,0,5
848,66,1,0,0,0,0,0,1,5
849,50,1,1,0,1,0,0,1,5
852,43,1,0,1,0,0,1,0,5
854,56,1,0,1,0,0,0,0,5
857,58,1,0,1,1,0,1,0,9
858,41,0,0,1,0,0,1,0,6
861,55,1,0,1,0,0,0,0,7
862,59,1,1,1,1,0,0,0,8
865,50,1,1,0,0,0,0,1,7
869,60,1,0,1,1,0,0,0,7
875,51,1,0,1,0,0,1,0,7
878,55,1,0,1,1,1,1,0,9
883,18,1,0,0,0,0,1,0,7
884,44,1,0,1,0,0,0,0,7
888,54,1,0,1,1,0,1,0,6
893,41,1,0,0,0,0,1,0,5
896,52,1,1,1,1,0,0,1,7
898,37,1,0,0,1,0,1,0,5
908,48,0,0,1,0,0,0,0,7
911,49,1,0,1,0,0,0,0,7
915,36,1,0,0,0,0,1,0,8
921,48,1,0,1,0,0,0,0,5
925,61,0,0,1,0,0,0,0,7
927,57,1,0,1,0,0,0,0,5
929,60,1,0,1,0,0,1,0,5
936,51,1,0,1,0,0,0,0,7
938,50,1,0,1,0,1,1,0,8
941,51,1,1,0,1,0,1,1,5
943,57,1,0,1,1,0,0,0,8
946,44,1,0,0,0,0,1,0,7
948,39,1,0,1,0,0,1,0,8
949,47,1,0,0,0,0,0,0,4
953,52,1,0,1,0,0,0,0,8
955,46,1,0,1,0,0,0,0,7
957,37,0,0,0,0,0,0,0,10
964,42,1,1,0,0,0,0,1,5
969,56,1,0,1,0,0,0,0,7
970,57,1,0,0,0,0,0,0,5
972,57,1,1,1,1,1,1,1,7
973,40,1,0,0,1,0,0,0,7
974,39,1,0,1,1,0,0,0,7
975,61,1,0,1,0,0,0,0,4
977,56,1,0,0,0,0,0,0,7
979,46,0,0,1,1,0,0,0,5
980,45,1,0,0,0,0,0,0,7
987,53,0,0,1,1,0,0,0,5
992,42,0,0,1,0,0,0,0,7
993,48,1,1,1,0,0,0,1,8
